"Region" "Revenue_Millions" "Employee_Count" "Market_Share_Percentage" "Satisfaction_Rating" "Years_in_Business"
"North" "193,52" 482 "31,43" 4 28
"East" "475,85" 955 "9,79" 4 20
"North" "368,68" 160 "3,64" 1 28
"North" "303,34" 424 "19,9" 4 8
"North" "86,45" 999 "2,63" 5 41
"East" "86,44" 307 "44,34" 1 39
"East" "38,46" 620 "1,48" 1 1
"East" "434,43" 272 "28,99" 3 3
"North" "304,55" 773 "21,98" 1 13
"North" "356,96" 153 "33,63" 1 28
"North" "20,09" 355 "16,47" 3 49
"East" "485,26" 633 "7,84" 5 25
"East" "417,9" 581 "49,09" 1 33
"East" "114,05" 890 "41,96" 5 38
"East" "99,09" 11 "43,03" 5 6
"South" "99,87" 906 "12,59" 1 44
"South" "159,08" 313 "2,04" 4 45
"South" "267,13" 263 "15,23" 3 32
"West" "221,65" 661 "26,9" 1 45
"West" "152,7" 462 "16,4" 1 47
"North" "309,81" 46 "41,41" 4 21
"South" "78,35" 169 "13,65" 2 16
"South" "153,15" 18 "48,27" 3 21
"North" "189,52" 242 "22,92" 3 11
"West" "233,47" 108 "42,12" 5 37
"North" "394,74" 668 "9,8" 5 36
"South" "107,84" 825 "20,63" 1 35
"South" "261,97" 217 "35,01" 1 19
"South" "300,28" 140 "7" 2 20
"South" "32,76" 413 "6,72" 5 18
"North" "307,7" 161 "48,48" 4 47
"South" "93,56" 63 "35,76" 2 41
"North" "41,88" 129 "2,15" 4 49
"West" "474,95" 682 "20" 4 14
"North" "483,16" 929 "21,73" 4 15
"South" "406,11" 637 "37,23" 4 31
"East" "159,26" 596 "12,62" 3 1
"West" "57,86" 634 "9,3" 1 3
"South" "345,27" 977 "4,14" 2 16
"North" "225,67" 429 "21,47" 1 23
"North" "69,8" 431 "34,46" 4 11
"East" "252,64" 113 "3" 1 12
"West" "26,85" 861 "45,77" 2 10
"West" "455,57" 263 "22,17" 1 32
"West" "136,8" 236 "12,07" 3 16
"West" "334,64" 121 "4,78" 5 8
"South" "162,74" 519 "9,23" 3 38
"South" "264,83" 482 "46,74" 1 12
"West" "277,89" 108 "31,95" 3 24
"North" "100,58" 162 "25,88" 5 28
"South" "485,1" 870 "32,89" 1 8
"East" "389,82" 923 "21,84" 1 28
"East" "470,35" 905 "36,53" 5 36
"East" "448,47" 887 "2,48" 3 26
"North" "302,97" 347 "28,35" 5 8
"East" "461,72" 715 "8,02" 3 28
"East" "53,36" 831 "6,1" 3 28
"North" "106,03" 172 "17,16" 1 37
"South" "32,16" 729 "4,68" 1 41
